# cid2code.txt (Version 08/23/2009)
#
# The data in this table contains nineteen tab-delimited columns of
# information. The contents of this file supplement Technical Note 
# #5080 "Adobe-CNS1-6 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 19155 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 19, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "B5-H" and "B5-V" CMaps (Big
#   Five character set, Big Five encoding, half-width Latin
#   characters).
#
# o Column 3: Character codes for the "B5pc-H" and "B5pc-V" CMaps
#   (MacOS-T character set, Big Five encoding, proportional Latin
#   characters).
#
# o Column 4: Character codes for the "ETen-B5-H" and "ETen-B5-V"
#   CMaps (Big Five character set with ETen extensions, Big Five
#   encoding, half-width Latin characters).
#
# o Column 5: Character codes for the "ETenms-B5-H" and
#   "ETenms-B5-V" CMaps (Big Five character set with ETen extensions,
#   Big Five encoding, proportional Latin characters).
#
# o Column 6: Character codes for the "CNS1-H" and "CNS1-V" CMaps
#   (CNS 11643-1992 character set, Plane 1, ISO-2022-CN encoding).
#
# o Column 7: Character codes for the "CNS2-H" and "CNS2-V" CMaps
#   (CNS 11643-1992 character set, Plane 2, ISO-2022-CN encoding).
#
# o Column 8: Character codes for the "CNS-EUC-H" and "CNS-EUC-V"
#   CMaps (CNS 11643-1992 character set, Planes 1 and 2, EUC-TW
#   encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "UniCNS-UCS2-H" and
#   "UniCNS-UCS2-V" CMaps (Unicode UCS-2 encoding, proportional
#   Latin characters).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 10: Character codes for the "UniCNS-UTF8-H" and
#   "UniCNS-UTF8-V" CMaps (Unicode 5.2 UTF-8 encoding, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniCNS-UTF16-H" and
#   "UniCNS-UTF16-V" CMaps (Unicode 5.2 UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 12: Character codes for the "UniCNS-UTF32-H" and
#   "UniCNS-UTF32-V" CMaps (Unicode 5.2 UTF-32 encoding, proportional
#   Latin characters).
#
# o Column 13: Character codes for the "ETHK-B5-H" and "ETHK-B5-V"
#   CMaps (Big Five character set with the ETen and Hong Kong SCS
#   extensions, Big Five encoding, proportional Latin characters).
#
# o Column 14: Character codes for the "HKdla-B5-H" and "HKdla-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   A with 784 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 15: Character codes for the "HKdlb-B5-H" and "HKdlb-B5-V"
#   CMaps (Big Five character set with Dynalab's Hong Kong Extension
#   B with 665 Hong Kong hanzi, Big Five encoding, proportional Latin
#   characters).
#
# o Column 16: Character codes for the "HKgccs-B5-H" and "HKgccs-B5-V"
#   CMaps (Big Five character set with Hong Kong's GCCS extension, Big
#   Five encoding, proportional Latin characters).
#
# o Column 17: Character codes for the "HKm314-B5-H" and "HKm314-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 314 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 18: Character codes for the "HKm471-B5-H" and "HKm471-B5-V"
#   CMaps (Big Five character set with Monotype's Hong Kong extension
#   containing 471 Hong Kong hanzi, Big Five encoding, proportional
#   Latin characters).
#
# o Column 19: Character codes for the "HKscs-B5-H" and "HKscs-B5-V"
#   CMaps (Big Five character set with Hong Kong's SCS extension,
#   Big Five encoding, proportional Latin characters).
#
CID	B5	B5pc	ETen-B5	ETenms-B5	CNS1	CNS2	CNS-EUC	UniCNS-UCS2	UniCNS-UTF8	UniCNS-UTF16	UniCNS-UTF32	ETHK-B5	HKdla-B5	HKdlb-B5	HKgccs-B5	HKm314-B5	HKm471-B5	HKscs-B5
0	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*	*
1	*	20	*	20	*	*	*	0020	20	0020	00000020	20	20	20	20	20	20	20
2	*	21	*	21	*	*	*	0021	21	0021	00000021	21	21	21	21	21	21	21
3	*	22	*	22	*	*	*	0022	22	0022	00000022	22	22	22	22	22	22	22
4	*	23	*	23	*	*	*	0023	23	0023	00000023	23	23	23	23	23	23	23
5	*	24	*	24	*	*	*	0024	24	0024	00000024	24	24	24	24	24	24	24
6	*	25	*	25	*	*	*	0025	25	0025	00000025	25	25	25	25	25	25	25
7	*	26	*	26	*	*	*	0026	26	0026	00000026	26	26	26	26	26	26	26
8	*	27	*	27	*	*	*	0027	27	0027	00000027	27	27	27	27	27	27	27
9	*	28	*	28	*	*	*	0028	28	0028	00000028	28	28	28	28	28	28	28
10	*	29	*	29	*	*	*	0029	29	0029	00000029	29	29	29	29	29	29	29
11	*	2a	*	2a	*	*	*	002a	2a	002a	0000002a	2a	2a	2a	2a	2a	2a	2a
12	*	2b	*	2b	*	*	*	002b	2b	002b	0000002b	2b	2b	2b	2b	2b	2b	2b
13	*	2c	*	2c	*	*	*	002c	2c	002c	0000002c	2c	2c	2c	2c	2c	2c	2c
14	*	2d	*	2d	*	*	*	002d	2d	002d	0000002d	2d	2d	2d	2d	2d	2d	2d
15	*	2e	*	2e	*	*	*	002e	2e	002e	0000002e	2e	2e	2e	2e	2e	2e	2e
16	*	2f	*	2f	*	*	*	002f	2f	002f	0000002f	2f	2f	2f	2f	2f	2f	2f
17	*	30	*	30	*	*	*	0030	30	0030	00000030	30	30	30	30	30	30	30
18	*	31	*	31	*	*	*	0031	31	0031	00000031	31	31	31	31	31	31	31
19	*	32	*	32	*	*	*	0032	32	0032	00000032	32	32	32	32	32	32	32
20	*	33	*	33	*	*	*	0033	33	0033	00000033	33	33	33	33	33	33	33
21	*	34	*	34	*	*	*	0034	34	0034	00000034	34	34	34	34	34	34	34
22	*	35	*	35	*	*	*	0035	35	0035	00000035	35	35	35	35	35	35	35
23	*	36	*	36	*	*	*	0036	36	0036	00000036	36	36	36	36	36	36	36
24	*	37	*	37	*	*	*	0037	37	0037	00000037	37	37	37	37	37	37	37
25	*	38	*	38	*	*	*	0038	38	0038	00000038	38	38	38	38	38	38	38
26	*	39	*	39	*	*	*	0039	39	0039	00000039	39	39	39	39	39	39	39
27	*	3a	*	3a	*	*	*	003a	3a	003a	0000003a	3a	3a	3a	3a	3a	3a	3a
28	*	3b	*	3b	*	*	*	003b	3b	003b	0000003b	3b	3b	3b	3b	3b	3b	3b
29	*	3c	*	3c	*	*	*	003c	3c	003c	0000003c	3c	3c	3c	3c	3c	3c	3c
30	*	3d	*	3d	*	*	*	003d	3d	003d	0000003d	3d	3d	3d	3d	3d	3d	3d
31	*	3e	*	3e	*	*	*	003e	3e	003e	0000003e	3e	3e	3e	3e	3e	3e	3e
32	*	3f	*	3f	*	*	*	003f	3f	003f	0000003f	3f	3f	3f	3f	3f	3f	3f
33	*	40	*	40	*	*	*	0040	40	0040	00000040	40	40	40	40	40	40	40
34	*	41	*	41	*	*	*	0041	41	0041	00000041	41	41	41	41	41	41	41
35	*	42	*	42	*	*	*	0042	42	0042	00000042	42	42	42	42	42	42	42
36	*	43	*	43	*	*	*	0043	43	0043	00000043	43	43	43	43	43	43	43
37	*	44	*	44	*	*	*	0044	44	0044	00000044	44	44	44	44	44	44	44
38	*	45	*	45	*	*	*	0045	45	0045	00000045	45	45	45	45	45	45	45
39	*	46	*	46	*	*	*	0046	46	0046	00000046	46	46	46	46	46	46	46
40	*	47	*	47	*	*	*	0047	47	0047	00000047	47	47	47	47	47	47	47
41	*	48	*	48	*	*	*	0048	48	0048	00000048	48	48	48	48	48	48	48
42	*	49	*	49	*	*	*	0049	49	0049	00000049	49	49	49	49	49	49	49
43	*	4a	*	4a	*	*	*	004a	4a	004a	0000004a	4a	4a	4a	4a	4a	4a	4a
44	*	4b	*	4b	*	*	*	004b	4b	004b	0000004b	4b	4b	4b	4b	4b	4b	4b
45	*	4c	*	4c	*	*	*	004c	4c	004c	0000004c	4c	4c	4c	4c	4c	4c	4c
46	*	4d	*	4d	*	*	*	004d	4d	004d	0000004d	4d	4d	4d	4d	4d	4d	4d
47	*	4e	*	4e	*	*	*	004e	4e	004e	0000004e	4e	4e	4e	4e	4e	4e	4e
48	*	4f	*	4f	*	*	*	004f	4f	004f	0000004f	4f	4f	4f	4f	4f	4f	4f
