# cid2code.txt (Version 08/28/2009)
#
# The data in this table contains 14 tab-delimited columns of
# information. The contents of this file supplement Technical Note
# #5079 "Adobe-GB1-5 Character Collection for CID-Keyed Fonts":
#
# http://www.adobe.com/devnet/font/
#
# This table contains lists CIDs 0 through 30283 in the first column,
# and provides additional columns that indicate whether a CID is used
# in a particular CMap file, and if so, provides the encoded value.
# Here are some common aspects of the data that you will find in this
# table:
#
# o All character codes are provided in hexadecimal notation.
#
# o Many of the CMap files indicated at the head of each column have
#   both "-H" (horizontal writing mode) and "-V" (vertical writing
#   mode) versions. Those with only a "-H" version are explicitly
#   shown with the "-H" appended. Those with both do not have a
#   writing mode suffix.
#
# o The character codes found in a corresponding "-V" (vertical
#   writing mode) CMap file are indicated by a "v" appended to the
#   hexadecimal code.
#
# o There may be cases of single CIDs being referenced in multiple
#   encoding points within a single CMap file. These cases are
#   comma-delimited, within the same column.
#
# The following is a synopsis of columns 2 through 14, and provides
# information about character set and encoding:
#
# o Column 2: Character codes for the "GB-H" and "GB-V" CMaps (GB
#   2312-80 character set, ISO-2022-CN encoding).
#
# o Column 3: Character codes for the "GB-EUC-H" and "GB-EUC-V" CMaps
#   (GB 2312-80 character set, EUC-CN encoding, half-width Latin
#   characters).
#
# o Column 4: Character codes for the "GBpc-EUC-H" and "GBpc-EUC-V"
#   CMaps (MacOS-S character set, EUC-CN encoding, proportional Latin
#   characters).
#
# o Column 5: Character codes for the "GBT-H" and "GBT-V" CMaps (GB/T
#   12345-90 character set, ISO-2022-CN encoding).
#
# o Column 6: Character codes for the "GBT-EUC-H" and "GBT-EUC-V"
#   CMaps (GB/T 12345-90 character set, EUC-CN encoding, half-width
#   Latin characters).
#
# o Column 7: Character codes for the "GBTpc-EUC-H" and "GBTpc-EUC-V"
#   CMaps (GB/T 12345-90 character set for MacOS-S, EUC-CN encoding,
#   proportional Latin characters).
#
# o Column 8: Character codes for the "GBK-EUC-H" and "GBK-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, half-width Latin characters).
#
# o Column 9: Character codes for the "GBKp-EUC-H" and "GBKp-EUC-V"
#   CMaps (GBK character set used on Windows 95 for PRC Chinese,
#   GBK encoding, proportional Latin characters).
#
# o Column 10: Character codes for the "GBK2K-H" and "GBK2K-V"
#   CMaps (GB 18030-2000 character set, the mixed one-, two-, and
#   four-byte encoding defined in GB 18030-2000, proportional Latin
#   characters).
#
# o Column 11: Character codes for the "UniGB-UCS2-H" and "UniGB-UCS2-V"
#   CMaps (Unicode UCS-2/UTF-16 encoding, proportional Latin characters).
#   (NOTE: These two CMap files are no longer being maintained. The
#   use of the UTF-8, UTF-16, and UTF-32 CMap files is recommended.)
#
# o Column 12: Character codes for the "UniGB-UTF8-H" and "UniGB-UTF8-V"
#   CMaps (Unicode 4.1 UTF-8 encoding, proportional Latin characters).
#
# o Column 13: Character codes for the "UniGB-UTF16-H" and
#   "UniGB-UTF16-V" CMaps (Unicode 4.1 UTF-16 encoding, proportional
#   Latin characters).
#
# o Column 14: Character codes for the "UniGB-UTF32-H" and
#   "UniGB-UTF32-V" CMaps (Unicode 4.1 UTF-32 encoding, proportional
#   Latin characters).
#
CID	GB	GB-EUC	GBpc-EUC	GBT	GBT-EUC	GBTpc-EUC	GBK-EUC	GBKp-EUC	GBK2K	UniGB-UCS2	UniGB-UTF8	UniGB-UTF16	UniGB-UTF32
0	*	*	*	*	*	*	*	*	*	*	*	*	*
1	*	*	20	*	*	20	*	20	20	0020	20	0020	00000020
2	*	*	21	*	*	21	*	21	21	0021	21	0021	00000021
3	*	*	22	*	*	22	*	22	22	0022	22	0022	00000022
4	*	*	23	*	*	23	*	23	23	0023	23	0023	00000023
5	*	*	24	*	*	24	*	24	24	0024	24	0024	00000024
6	*	*	25	*	*	25	*	25	25	0025	25	0025	00000025
7	*	*	26	*	*	26	*	26	26	0026	26	0026	00000026
8	*	*	27	*	*	27	*	27	27	0027	27	0027	00000027
9	*	*	28	*	*	28	*	28	28	0028	28	0028	00000028
10	*	*	29	*	*	29	*	29	29	0029	29	0029	00000029
11	*	*	2a	*	*	2a	*	2a	2a	002a	2a	002a	0000002a
12	*	*	2b	*	*	2b	*	2b	2b	002b	2b	002b	0000002b
13	*	*	2c	*	*	2c	*	2c	2c	002c	2c	002c	0000002c
14	*	*	2d	*	*	2d	*	2d	2d	002d	2d	002d	0000002d
15	*	*	2e	*	*	2e	*	2e	2e	002e	2e	002e	0000002e
16	*	*	2f	*	*	2f	*	2f	2f	002f	2f	002f	0000002f
17	*	*	30	*	*	30	*	30	30	0030	30	0030	00000030
18	*	*	31	*	*	31	*	31	31	0031	31	0031	00000031
19	*	*	32	*	*	32	*	32	32	0032	32	0032	00000032
20	*	*	33	*	*	33	*	33	33	0033	33	0033	00000033
21	*	*	34	*	*	34	*	34	34	0034	34	0034	00000034
22	*	*	35	*	*	35	*	35	35	0035	35	0035	00000035
23	*	*	36	*	*	36	*	36	36	0036	36	0036	00000036
24	*	*	37	*	*	37	*	37	37	0037	37	0037	00000037
25	*	*	38	*	*	38	*	38	38	0038	38	0038	00000038
26	*	*	39	*	*	39	*	39	39	0039	39	0039	00000039
27	*	*	3a	*	*	3a	*	3a	3a	003a	3a	003a	0000003a
28	*	*	3b	*	*	3b	*	3b	3b	003b	3b	003b	0000003b
29	*	*	3c	*	*	3c	*	3c	3c	003c	3c	003c	0000003c
30	*	*	3d	*	*	3d	*	3d	3d	003d	3d	003d	0000003d
31	*	*	3e	*	*	3e	*	3e	3e	003e	3e	003e	0000003e
32	*	*	3f	*	*	3f	*	3f	3f	003f	3f	003f	0000003f
33	*	*	40	*	*	40	*	40	40	0040	40	0040	00000040
34	*	*	41	*	*	41	*	41	41	0041	41	0041	00000041
35	*	*	42	*	*	42	*	42	42	0042	42	0042	00000042
36	*	*	43	*	*	43	*	43	43	0043	43	0043	00000043
37	*	*	44	*	*	44	*	44	44	0044	44	0044	00000044
38	*	*	45	*	*	45	*	45	45	0045	45	0045	00000045
39	*	*	46	*	*	46	*	46	46	0046	46	0046	00000046
40	*	*	47	*	*	47	*	47	47	0047	47	0047	00000047
41	*	*	48	*	*	48	*	48	48	0048	48	0048	00000048
42	*	*	49	*	*	49	*	49	49	0049	49	0049	00000049
43	*	*	4a	*	*	4a	*	4a	4a	004a	4a	004a	0000004a
44	*	*	4b	*	*	4b	*	4b	4b	004b	4b	004b	0000004b
45	*	*	4c	*	*	4c	*	4c	4c	004c	4c	004c	0000004c
46	*	*	4d	*	*	4d	*	4d	4d	004d	4d	004d	0000004d
47	*	*	4e	*	*	4e	*	4e	4e	004e	4e	004e	0000004e
48	*	*	4f	*	*	4f	*	4f	4f	004f	4f	004f	0000004f
49	*	*	50	*	*	50	*	50	50	0050	50	0050	00000050
50	*	*	51	*	*	51	*	51	51	0051	51	0051	00000051
51	*	*	52	*	*	52	*	52	52	0052	52	0052	00000052
52	*	*	53	*	*	53	*	53	53	0053	53	0053	00000053
53	*	*	54	*	*	54	*	54	54	0054	54	0054	00000054
54	*	*	55	*	*	55	*	55	55	0055	55	0055	00000055
55	*	*	56	*	*	56	*	56	56	0056	56	0056	00000056
56	*	*	57	*	*	57	*	57	57	0057	57	0057	00000057
57	*	*	58	*	*	58	*	58	58	0058	58	0058	00000058
